729000001001062608001Y  5311 #0001    N 32   33   CABCBCBEABADDCBADEEABDBDBABDCCAABBDCE ECAEABBECDDEABBACCBABC
729000002001062608001Y  5311 #0001    N 32   18   EABBBAACDBACBCAEACBADCBDCDEABEDACEEEEBECDCEEACADEEAAEDABDADA
729000003001062608001Y  5311 #0001    N 32   32   CDBABAACABADEECABCEECCDCBDBCEDBCCACCD EBBBEDBCABEEDEEDBDCACB
729000004001062608001Y  5311 #0001    N 32   12   DADABDCCDABDDDDBCDCEAEBCDDDDDDADBDEAE CEDDDDDDDBACBBCDCDDBDD
729000005001062608001Y  5311 #0001    N 32   4    DAAABBCDCAEDDBCDACBDACDCAEBACCBBACCCA EECBABAAACDEEDCBECCDAB
729000006001062608001Y  5311 #0001    N 32   13   ECABBDCCBCBCECDBDCDCEDEDADBDCAACACDCA ECDCECBBEEBDABAEDDCBAA
729000007001062608001Y  5311 #0001    N 32   14   DABBCCCEACEABADDBACCECBCADEAADDAECBCEBEBAAEBDACEBEEEBDEECAAC
729000008001062608001Y  5311 #0001    N 32   15   AABCDBCACACDBCCBDADEBCBDBEBADEACEACDA CCCABABBAAEEABCDADBBDC
729000009001062608001Y  5311 #0001    N 32   53   CDBCAECBAABDEEAACBAEDCDCDDABBDADAAEAD DBADECCCEBBEBBCBBDCCDD
729000010001062608001Y  5311 #0001    N 32   45   DAAABCCEAABDEEAACBAABCBCACABBCEDACECDBBAADEBECEBCBCECDDBCEDB
729000011001062608001Y  5311 #0001    N 32   46   CABBACBDAAADEECEADCEDCBABCDABEABABCCECEAADDABDABBBABBDDABBBA
729000012001062608001Y  5311 #0001    N 32   30   EDBAABCBABADCADD   EBCDCBABBAACAABDDDCDCEBCECBBBDAAEABDEBABD
729000013001062608001Y  5311 #0001    N 32   36   CDBBDDCDAADDEEACCBDDDCDCEABBAEADAABED ADBEEDADAADEBBADECCBBA
729000014001062608001Y  5311 #0001    N 32   41   ACEBDCBCCBDDBCAACBDDBDBCEBCBCEABADCCDCDBAEEBECEBDCBBBEECCCBD
729000015001062608001Y  5311 #0001    N 32   29   BDBBCABDEACDBEDDCDCEADDCBBADBEABEADCEDBDBDECAEABBECDCEDDEBCD
729000016001062608001Y  5311 #0001    N 32   26   DCCAEECACBDDCCAADCECADBDCDBDDDCAEAECADADCDEAAEADEEEBAEABEBCA
729000017001062608001Y  5311 #0001    N 32   06   EBB*CACCDBBDDBADCEABBCDCBCBDBCADACECDDECBDCCDAABDEABBDCBEEDD
729000018001062608001Y  5311 #0001    N 32   16   EABBBECA ABDECCABADDACBDBDCABCCBCBBCDCEDAAEBBCCEBEADECDEBBDA
729000019001062608001Y  5311 #0001    N 32   37   CDBBAEADABBDEAAACBAEECDCCCBCBDAAAABCDAADBDECAAEABCEBCDBECBDD
729000020001062608001Y  5311 #0001    N 32   20   EAAACECACCCDDCBCBBACDABDACBCCBDBCCCBCCEECCBDACACBEEBCCDDBBDC
729000021001062608001Y  5311 #0001    N 32   7    CDCCBDCBDBCCBCBBCDAEBDBCEBCCBDBCABDCABDCBCDBDBDDBCEBBDCECBBD
729000022001062608001Y  5311 #0001    N 32   35   BECBDACADAADECBDBAECBDDCBDBABEADACDBCDEBACEADBABAAEACEEECDCD
729000023001062608001Y  5311 #0001    N 32   34   AB DBCCBBBBDDBBDCBDEECBDACCDBDCCACBCA ADCCEBCCEEBCABBDCBCBCA
729000024001062608001Y  5311 #0001    N 32   54   EDBCBACBACDCCE BDBCDCABBBDCCBCAACCEDDCBCCBDBBCADDAAECCABCCD*
729000025001062608001Y  5311 #0001    N 32   11   DBCEECCCBAAACDBACDCCEDBABEBDCAABBECCDBEACDEBADAEBEBBBBDCCABE
729000026001062608001Y  5311 #0001    N 32   10   BACBCDBADBBDECAAEBCDBDBDBEBBCACBEACCECEBCCECADABEAABABBDDBCC
729000027001062608001Y  5311 #0001    N 32   28   AACABCEACBADBDAACBCCDDCDABDBCCADABCCDCECDEECBCABBCAEBAADCBEE
729000028001062608001Y  5311 #0001    N 32   1    BDCDCDCBBCBDEACBBEEBAECCDDBABDAACEBDECCDBCBCBBAEBDADCAEDBBDC
729000029001062608001Y  5311 #0001    N 32   5    CDABDCAEEBECECBAACEBADCDBEBCCEABAAEDDCEBECCADCEBEEDBCACACECC
729000030001062608001Y  5311 #0001    N 32   03   AACAADCCABDCDCBDDBBDCABBBDABACAAEECCECEBCCDABDABDBABBCAEBBEB
729000031001062608001Y  5311 #0001    N 32   8    EDCABEBDABBDDCADBABEDDBAEDABCEABAEDCDCEAECBDABABBBEAABDCBAEA
729000032001062608001Y  5311 #0001    N 32   49   ADAEABCAABCAEEBDCBCEBDBDEDADDEBCCBACCDABCACBBDCDBEAADDBCCDDE
729000033001062608001Y  5311 #0001    N 32   43   BAABABCAEBBDABAACBABBCBCAACBBEDCBEBCEBEEAACADCCBBEDDBDEEBCAA

